id,intentos
ps-00021-2020,2
ps-00035-2020,1
ps-00037-2020,1
ps-000372020,3
ps-00038-2020,1
ps-00041-2020,1
ps-00050-2020,1
ps-00055-2020,1
ps-00056-2020,1
ps-00057-2020,1
ps-00058-2020,1
ps-00063-2020,3
ps-00065-2020,1
ps-00066-2020,2
ps-00067-2020,2
ps-00070-2020,3
ps-00072-2020,1
ps-00074-2020,2
ps-00084-2020,3
ps-00086-2020,1
ps-00088-2020,1
ps-00090-2020,1
ps-00091-2020,1
ps-00092-2020,1
ps-00093-2020,3
ps-00126-2020,1
ps-00127-2020,1
ps-00128-2020,1
ps-00130-2020,1
ps-00132-2020,1
ps-00143-2020,1
ps-00144-2020,1
ps-00147-2020,1
ps-00164-2020,3
ps-00187-2020,1
ps-00188-2020,1
ps-00189-2020,1
ps-00239-2020,1
ps-00241-2020,1
ps-00242-2020,1
ps-00243-2020,1
ps-00244-2020,1
ps-00260-2020,3
ps-00271-2020,3
ps-00280-2020,1
ps-00281-2020,1
ps-00282-2020,1
ps-00285-2020,1
ps-00286-2020,2
ps-00297-2020,1
ps-00302-2020,1
ps-00304-2020,1
ps-00306-2020,1
ps-00310-2020,1
ps-00312-2020,1
ps-00358-2020,1
ps-00359-2020,1
ps-00360-2020,1
ps-00362-2020,1
ps-00365-2020,1
ps-00371-2020,1
ps-00375-2020,1
ps-00376-2020,1
ps-00378-2020,1
ps-00381-2020,1
ps-00390-2020,1
ps-00424-2020,1
ps-00425-2020,1
ps-00426-2020,1
ps-00430-2020,1
ps-00432-2020,1
